domain,dimension,type,group,grpCode,indicator,indCode,slope,SE_slope,p-value_slope,intercept,SE_intercept,p-value_intercept,adj-R2,p-value_regression
ecological,climate change,global doughnut,World,Wld,co2_ppm,CC1,0.031,3.7663967247055646e-4,6.295615371390849e-28,1.254,0.00483802419123655,2.6883484203837635e-38,0.997,6.295615371390849e-28
ecological,climate change,global doughnut,World,Wld,erf_wm2,CC2,0.055,0.00224961118903142,6.274808393772964e-17,1.611,0.02889677893467604,2.6111719468059813e-24,0.965,6.274808393773007e-17
ecological,ocean acidification,global doughnut,World,Wld,omega_a,OA1,0.013,4.006451341800547e-4,3.1543910211399337e-19,0.65,0.0051463799300533,9.697858526353281e-32,0.979,3.1543910211399106e-19
ecological,chemical pollution,global doughnut,World,Wld,chemicalsMt_Hzd,CP1,0.818,1.4834749533882546e-16,1.1443730917328395e-243,15.139,1.4772808764255133e-15,5.698749416677894e-248,1,1.1443730917328395e-243
ecological,nutrient pollution,global doughnut,World,Wld,phosphorusMt,NP1,0.071,8.74560237728059e-4,9.021096231127971e-28,2.236,0.01123392965766958,6.929950420984731e-36,0.997,9.021096231127971e-28
ecological,nutrient pollution,global doughnut,World,Wld,nitrogenMt,NP2,0.046,1.7458228317650785e-4,1.5360246888832312e-38,2.124,0.00224255003151661,4.116326087629608e-50,1,1.5360246888832312e-38
ecological,air pollution,global doughnut,World,Wld,interhemAOD,AP1,0,3.3413786483740607e-18,0.09792918837655852,0.714,4.2920785871750536e-17,0,0.499,9.941580692756404e-5
ecological,freshwater disruption,global doughnut,World,Wld,blueDev,FD1,-0.007,0.01958875474041986,0.7397008384143801,1.794,0.05930790022616113,7.115870703752209e-6,-0.212,0.7397008384143844
ecological,freshwater disruption,global doughnut,World,Wld,soilDev,FD2,0.025,0.00317777980761687,2.4413130364941913e-6,1.397,0.02614033763271238,1.2687141019557774e-16,0.816,2.441313036494218e-6
ecological,land conversion,global doughnut,World,Wld,forestAreaMKM2,LC1,0.003,1.5955917081036558e-5,2.9272957212027206e-32,1.545,1.865318818662865e-4,9.116346568604916e-64,0.999,2.9272957212028454e-32
ecological,biodiversity breakdown,global doughnut,World,Wld,extinction1900,BB1,0,0,NA,10,0,0,NA,NA
ecological,biodiversity breakdown,global doughnut,World,Wld,hanppGtC,BB2,0.02,8.143804317141355e-18,1.3338079286202923e-281,2.612,9.520475301495364e-17,1.1957620657724004e-291,1,1.3338079286202923e-281
ecological,ozone depletion,global doughnut,World,Wld,totalOzone,OD1,0.001,0.00663327636641295,0.9393464077003162,0.477,0.08137600064305513,9.903526671446851e-6,-0.05,0.9393464077003162
social,food,global doughnut,World,Wld,undernourishment,NU1,-0.002,3.622496687607428e-4,1.2300686713888492e-6,0.126,0.00465318124677614,7.79710176053982e-18,0.667,1.2300686713888375e-6
social,food,global doughnut,World,Wld,foodInsecurity,NU2,0.011,9.38730745392116e-4,2.758758286692007e-5,0.057,0.017499210147595,0.01713166669805079,0.948,2.758758286692032e-5
social,health,global doughnut,World,Wld,under5death,HE1,-0.014,0.00234968604141951,4.248991084442431e-6,0.679,0.03018226368887664,3.508858002662985e-16,0.626,4.24899108444247e-6
social,health,global doughnut,World,Wld,UHCindex,HE2,-0.028,0.00197151823893973,4.102872628000717e-12,0.806,0.02532461031226116,2.9367988468891037e-19,0.898,4.1028726280007315e-12
social,education,global doughnut,World,Wld,adultLiteracy,ED1,-0.004,9.908707815017464e-5,1.1113051317336663e-20,0.239,0.00127279656437936,2.3039641235356068e-35,0.984,1.1113051317336588e-20
social,education,global doughnut,World,Wld,secondarySchool,ED2,-0.013,4.2892489701128406e-4,1.1455114457210139e-18,0.636,0.00550964006088993,6.365542281625343e-31,0.976,1.14551144572103e-18
social,income and work,global doughnut,World,Wld,societalPoverty,IW1,-0.006,1.1925778692503136e-4,1.5483327332370448e-23,0.856,0.00153189400986891,2.6707378820851436e-45,0.992,1.5483327332370448e-23
