domain,dimension,type,group,grpCode,indicator,indCode,date,value,boundary,unit,ratio
ecological,climate change,national aggregate,Bottom-40,B40,co2_footprint,CC3,2017,0.94,0.95,tonnes CO2 per capita,-0.010000000000000009
ecological,climate change,national aggregate,Middle-40,M40,co2_footprint,CC3,2017,4.26,0.95,tonnes CO2 per capita,3.4800000000000004
ecological,climate change,national aggregate,Top-20,T20,co2_footprint,CC3,2017,11.65,0.95,tonnes CO2 per capita,11.26
ecological,ocean acidification,national aggregate,Bottom-40,B40,omega_a_footprint,OA3,2017,NA,NA,Not available,NA
ecological,ocean acidification,national aggregate,Middle-40,M40,omega_a_footprint,OA3,2017,NA,NA,Not available,NA
ecological,ocean acidification,national aggregate,Top-20,T20,omega_a_footprint,OA3,2017,NA,NA,Not available,NA
ecological,chemical pollution,national aggregate,Bottom-40,B40,hzdChemicals_footprint,CP3,2017,NA,NA,Not available,NA
ecological,chemical pollution,national aggregate,Middle-40,M40,hzdChemicals_footprint,CP3,2017,NA,NA,Not available,NA
ecological,chemical pollution,national aggregate,Top-20,T20,hzdChemicals_footprint,CP3,2017,NA,NA,Not available,NA
ecological,nutrient pollution,national aggregate,Bottom-40,B40,P_footprint,NP3,2017,1.54,0.85,kg P per capita,0.81
ecological,nutrient pollution,national aggregate,Middle-40,M40,P_footprint,NP3,2017,3.08,0.85,kg P per capita,2.62
ecological,nutrient pollution,national aggregate,Top-20,T20,P_footprint,NP3,2017,4.17,0.85,kg P per capita,3.9000000000000004
ecological,nutrient pollution,national aggregate,Bottom-40,B40,N_footprint,NP4,2017,10.6,8.5,kg N per capita,0.25
ecological,nutrient pollution,national aggregate,Middle-40,M40,N_footprint,NP4,2017,21.44,8.5,kg N per capita,1.52
ecological,nutrient pollution,national aggregate,Top-20,T20,N_footprint,NP4,2017,32.41,8.5,kg N per capita,2.81
ecological,air pollution,national aggregate,Bottom-40,B40,airPollution_footprint,AP3,2017,NA,NA,Not available,NA
ecological,air pollution,national aggregate,Middle-40,M40,airPollution_footprint,AP3,2017,NA,NA,Not available,NA
ecological,air pollution,national aggregate,Top-20,T20,airPollution_footprint,AP3,2017,NA,NA,Not available,NA
