domain,dimension,indicator,indCode,intercept,slope,stdErrorIntercept,stdErrorSlope,pValIntercept,pValSlope,adjr2,lmPval
ecological,climate change,co2_ppm,CC1,1.254260869565217,0.03128176171654433,0.004838024191236556,3.7663967247055646e-4,2.6883484203837635e-38,6.295615371390849e-28,0.9968204015127673,6.295615371390849e-28
ecological,climate change,erf_wm2,CC2,1.611282491793478,0.05510845410177867,0.028896778934676043,0.0022496111890314236,2.6111719468059813e-24,6.274808393772964e-17,0.9645788075562798,6.274808393773007e-17
ecological,ocean acidification,omega_a,OA1,0.6497794580970385,0.012711233316148238,0.005146379930053301,4.006451341800547e-4,9.697858526353282e-32,3.1543910211399337e-19,0.9785908290727514,3.154391021139911e-19
ecological,chemical pollution,chemicalsMt_Hzd,CP1,15.139290000000004,0.81846176470588206,1.4772808764255133e-15,1.4834749533882546e-16,5.6987494166778946e-248,1.1443730917328396e-243,1,1.1443730917328396e-243
ecological,nutrient pollution,phosphorusMt,NP1,2.235553873622167,0.07139926330095196,0.011233929657669582,8.74560237728059e-4,6.929950420984731e-36,9.021096231127973e-28,0.9967096016279822,9.021096231127973e-28
ecological,nutrient pollution,nitrogenMt,NP2,2.1239285270511923,0.04648351529803645,0.0022425500315166194,1.7458228317650783e-4,4.116326087629608e-50,1.5360246888832314e-38,0.9996897609507738,1.5360246888832314e-38
ecological,freshwater disruption,blueDev,FD1,1.7939232838468728,-0.006977042296918919,0.05930790022616113,0.019588754740419864,7.115870703752209e-6,0.7397008384143801,-0.21157452918442776,0.7397008384143844
ecological,freshwater disruption,soilDev,FD2,1.396855773228228,0.025218988294723313,0.02614033763271238,0.0031777798076168717,1.2687141019557777e-16,2.4413130364941913e-6,0.8157427645469844,2.441313036494218e-6
ecological,land conversion,forestAreaMKM2,LC1,1.5449730296524595,0.0029021937846123906,1.865318818662865e-4,1.5955917081036558e-5,9.116346568604916e-64,2.9272957212027206e-32,0.9993958130023336,2.9272957212028454e-32
ecological,biodiversity breakdown,extinction1900,BB1,10,0,0,0,0,NA,NA,NA
ecological,biodiversity breakdown,hanppGtC,BB2,2.61180679785331,0.01967799642218247,9.520475301495364e-17,8.143804317141356e-18,1.1957620657724005e-301,1.3338079286202923e-281,1,1.3338079286202923e-281
ecological,air pollution,interhemAOD,AP1,0.714285714285714,5.787437586309694e-18,4.292078587175054e-17,3.3413786483740607e-18,0,0.09792918837655852,0.4989648033126294,9.941580692756404e-5
ecological,ozone depletion,totalOzone,OD1,0.4767047186344723,5.111189689365851e-4,0.08137600064305513,0.006633276366412957,9.903526671446853e-6,0.9393464077003162,-0.049688385103779265,0.9393464077003162
social,food,undernourishment,NU1,0.12626745772009262,-0.002429489570126046,0.004653181246776145,3.622496687607428e-4,7.797101760539821e-18,1.2300686713888492e-6,0.6665628167380526,1.2300686713888377e-6
