domain,dimension,date,co2_ppm,erf_wm2
ecological,climate change,2000,368.83,1.77
ecological,climate change,2001,370.41,1.79
ecological,climate change,2002,372.42,1.77
ecological,climate change,2003,374.97,1.79
ecological,climate change,2004,376.79,1.82
ecological,climate change,2005,378.82,1.82
ecological,climate change,2006,380.96,1.84
ecological,climate change,2007,382.69,1.91
ecological,climate change,2008,384.79,1.98
ecological,climate change,2009,386.29,2.06
ecological,climate change,2010,388.57,2.12
ecological,climate change,2011,390.45,2.17
ecological,climate change,2012,392.46,2.19
ecological,climate change,2013,395.2,2.30
ecological,climate change,2014,397.12,2.35
ecological,climate change,2015,399.42,2.41
ecological,climate change,2016,402.85,2.54
ecological,climate change,2017,405,2.58
ecological,climate change,2018,407.39,2.64
ecological,climate change,2019,409.85,2.64
ecological,climate change,2020,412.3,2.79
ecological,climate change,2021,414.5,2.77
ecological,climate change,2022,416.9,2.91
