domain,dimension,date,chemicalsMt,EUshare_hzdHealth
ecological,chemical pollution,2000,1186,76.63
ecological,chemical pollution,2001,,76.63
ecological,chemical pollution,2002,,76.63
ecological,chemical pollution,2003,,76.63
ecological,chemical pollution,2004,,76.63
ecological,chemical pollution,2005,,76.63
ecological,chemical pollution,2006,,76.63
ecological,chemical pollution,2007,,76.63
ecological,chemical pollution,2008,,76.63
ecological,chemical pollution,2009,,76.63
ecological,chemical pollution,2010,,76.63
ecological,chemical pollution,2011,,76.63
ecological,chemical pollution,2012,,76.63
ecological,chemical pollution,2013,,76.63
ecological,chemical pollution,2014,,76.63
ecological,chemical pollution,2015,,76.63
ecological,chemical pollution,2016,,76.63
ecological,chemical pollution,2017,2276,76.63
ecological,chemical pollution,2018,,76.63
ecological,chemical pollution,2019,,76.63
ecological,chemical pollution,2020,,76.63
ecological,chemical pollution,2021,,76.63
