domain,dimension,date,nitrogenMt,phosphorusMt
ecological,nutrient pollution,1970,63.1706963,8.160664832957746
ecological,nutrient pollution,1971,66.07496634,8.553986157915492
ecological,nutrient pollution,1972,68.97923638,8.947307482873239
ecological,nutrient pollution,1973,71.88350642,9.340628807830987
ecological,nutrient pollution,1974,74.78777646,9.733950132788733
ecological,nutrient pollution,1975,77.6920465,10.12727145774648
ecological,nutrient pollution,1976,81.58227886,10.65343493802817
ecological,nutrient pollution,1977,85.47251122,11.17959841830986
ecological,nutrient pollution,1978,89.36274358,11.705761898591549
ecological,nutrient pollution,1979,93.25297594,12.231925378873239
ecological,nutrient pollution,1980,97.1432083,12.75808885915493
ecological,nutrient pollution,1981,99.89322156,12.929634476056338
ecological,nutrient pollution,1982,102.64323482,13.101180092957746
ecological,nutrient pollution,1983,105.39324807999999,13.272725709859154
ecological,nutrient pollution,1984,108.14326134,13.444271326760562
ecological,nutrient pollution,1985,110.8932746,13.61581694366197
ecological,nutrient pollution,1986,112.8343393,13.866908612957745
ecological,nutrient pollution,1987,114.775404,14.11800028225352
ecological,nutrient pollution,1988,116.71646870000001,14.369091951549295
ecological,nutrient pollution,1989,118.6575334,14.62018362084507
ecological,nutrient pollution,1990,120.5985981,14.871275290140845
ecological,nutrient pollution,1991,121.85307224,14.433307010704226
ecological,nutrient pollution,1992,123.10754638,13.995338731267605
ecological,nutrient pollution,1993,124.36202052,13.557370451830986
ecological,nutrient pollution,1994,125.61649466,13.119402172394365
ecological,nutrient pollution,1995,126.8709688,12.681433892957745
ecological,nutrient pollution,1996,127.9454293,12.85500440366197
ecological,nutrient pollution,1997,129.0198898,13.028574914366196
ecological,nutrient pollution,1998,130.0943503,13.202145425070421
ecological,nutrient pollution,1999,131.16881080000002,13.375715935774647
ecological,nutrient pollution,2000,132.2432713,13.549286446478872
ecological,nutrient pollution,2001,134.93367778,14.09326414225352
ecological,nutrient pollution,2002,137.62408426000002,14.637241838028167
ecological,nutrient pollution,2003,140.31449074,15.181219533802816
ecological,nutrient pollution,2004,143.00489722,15.725197229577464
ecological,nutrient pollution,2005,145.6953037,16.26917492535211
ecological,nutrient pollution,2006,148.6046776,16.690833231549295
ecological,nutrient pollution,2007,151.5140515,17.11249153774648
ecological,nutrient pollution,2008,154.4234254,17.53414984394366
ecological,nutrient pollution,2009,157.3327993,17.955808150140843
ecological,nutrient pollution,2010,160.2421732,18.377466456338027
ecological,nutrient pollution,2011,163.24602382,18.772538909295772
ecological,nutrient pollution,2012,166.24987444,19.16761136225352
ecological,nutrient pollution,2013,169.25372506,19.562683815211265
ecological,nutrient pollution,2014,172.25757568,19.957756268169014
ecological,nutrient pollution,2015,175.2614263,20.35282872112676
ecological,nutrient pollution,2016,178.13090856,20.875580629577463
ecological,nutrient pollution,2017,181.00039082,21.398332538028168
ecological,nutrient pollution,2018,183.86987308,21.921084446478872
ecological,nutrient pollution,2019,186.73935534,22.443836354929577
ecological,nutrient pollution,2020,189.6088376,22.96658826338028
ecological,nutrient pollution,2021,191.97349848,23.069493470704224
