domain,dimension,date,totalOzone
ecological,ozone depletion,2000,284.3
ecological,ozone depletion,2001,284.8
ecological,ozone depletion,2002,280.4
ecological,ozone depletion,2003,286.2
ecological,ozone depletion,2004,279.5
ecological,ozone depletion,2005,284.9
ecological,ozone depletion,2006,279.0
ecological,ozone depletion,2007,285.8
ecological,ozone depletion,2008,280.1
ecological,ozone depletion,2009,284.0
ecological,ozone depletion,2010,285.7
ecological,ozone depletion,2011,285.4
ecological,ozone depletion,2012,285.4
ecological,ozone depletion,2013,279.7
ecological,ozone depletion,2014,285.5
ecological,ozone depletion,2015,285.4
ecological,ozone depletion,2016,279.2
ecological,ozone depletion,2017,283.7
ecological,ozone depletion,2018,286.3
ecological,ozone depletion,2019,279.6
ecological,ozone depletion,2020,282.0
ecological,ozone depletion,2021,284.6
