domain,dimension,date,drinkingH2O,sanitation
social,water,2000,62,29
social,water,2001,62,29
social,water,2002,63,30
social,water,2003,63,31
social,water,2004,63,32
social,water,2005,63,33
social,water,2006,64,35
social,water,2007,64,36
social,water,2008,64,37
social,water,2009,65,39
social,water,2010,66,40
social,water,2011,67,41
social,water,2012,67,43
social,water,2013,68,44
social,water,2014,69,46
social,water,2015,70,47
social,water,2016,71,49
social,water,2017,72,50
social,water,2018,73,52
social,water,2019,74,53
social,water,2020,74,54
social,water,2021,,
