domain,dimension,date,internet,publicTrans
social,connectivity,2000,5.35,
social,connectivity,2001,6.81,
social,connectivity,2002,9.15,
social,connectivity,2003,10.82,
social,connectivity,2004,12.64,
social,connectivity,2005,15.6,
social,connectivity,2006,17.3,
social,connectivity,2007,20.3,
social,connectivity,2008,22.8,
social,connectivity,2009,25.4,
social,connectivity,2010,28.5,
social,connectivity,2011,31,
social,connectivity,2012,33.5,
social,connectivity,2013,35.4,
social,connectivity,2014,37.5,
social,connectivity,2015,40,
social,connectivity,2016,43,
social,connectivity,2017,45.6,
social,connectivity,2018,49,
social,connectivity,2019,53.7,
social,connectivity,2020,59.6,51.6
social,connectivity,2021,62.6,
