domain,dimension,date,urbanSlums
social,housing,2000,31.2
social,housing,2001,
social,housing,2002,30.9
social,housing,2003,
social,housing,2004,30.1
social,housing,2005,
social,housing,2006,29.2
social,housing,2007,
social,housing,2008,28.2
social,housing,2009,
social,housing,2010,27.3
social,housing,2011,
social,housing,2012,26.3
social,housing,2013,
social,housing,2014,25.4
social,housing,2015,
social,housing,2016,24.6
social,housing,2017,
social,housing,2018,24.4
social,housing,2019,
social,housing,2020,24.2
social,housing,2021,
