domain,dimension,indicator,term,coefficient,SE,p-value_coefficient,adj-R2,p-value_regression
ecological,climate change,co2_ppm,(Intercept),1.253,0.0048803006023313755,1.1551301228122457e-36,0.997,2.4966604388893215e-26
ecological,climate change,co2_ppm,t,0.031,3.9781240649110704e-4,2.496660438889304e-26,0.997,2.4966604388893215e-26
ecological,climate change,erf_wm2,(Intercept),1.617,0.028471394279797592,1.3892142159518357e-23,0.963,5.952498701065268e-16
ecological,climate change,erf_wm2,t,0.054,0.0023208148016933073,5.952498701065311e-16,0.963,5.952498701065268e-16
ecological,ocean acidification,omega_a,(Intercept),0.649,0.005032521150474632,1.0864383658454223e-30,0.979,2.0172503714790424e-18
ecological,ocean acidification,omega_a,t,0.013,4.1022049925189643e-4,2.017250371479028e-18,0.979,2.0172503714790424e-18
ecological,chemical pollution,chemicalsMt_Hzd,(Intercept),15.147,1.268639573577512e-15,4.944863672204001e-249,1,9.929843400723335e-245
ecological,chemical pollution,chemicalsMt_Hzd,t,0.819,1.2739588404022014e-16,9.929843400723335e-245,1,9.929843400723335e-245
ecological,nutrient pollution,nitrogenMt,(Intercept),2.123,0.002005737553755035,5.7996360459812696e-49,1,1.4130365043059656e-37
ecological,nutrient pollution,nitrogenMt,t,0.047,1.6349551965461043e-4,1.4130365043059053e-37,1,1.4130365043059656e-37
ecological,nutrient pollution,phosphorusMt,(Intercept),2.229,0.009486650363873403,6.818781395089869e-36,0.998,6.787882409696177e-28
ecological,nutrient pollution,phosphorusMt,t,0.072,7.732940075431779e-4,6.787882409696177e-28,0.998,6.787882409696177e-28
ecological,air pollution,interhemAOD,(Intercept),0.714,8.747016022105029e-17,1.0376663865115986e-306,0.485,1.8947606884674512e-4
ecological,air pollution,interhemAOD,t,0,7.130035169775388e-18,0.09866044654890514,0.485,1.8947606884674512e-4
ecological,freshwater disruption,blueDev,(Intercept),1.794,0.0592962729122498,7.1107819060501824e-6,-0.212,0.7399306117340136
ecological,freshwater disruption,blueDev,t,-0.007,0.019584914365029224,0.7399306117340121,-0.212,0.7399306117340136
ecological,freshwater disruption,soilDev,(Intercept),1.397,0.026143871631973695,1.2708556922429305e-16,0.816,2.446151738818698e-6
ecological,freshwater disruption,soilDev,t,0.025,0.0031782094222473534,2.4461517388186807e-6,0.816,2.446151738818698e-6
ecological,land conversion,forestAreaMKM2,(Intercept),1.545,1.8726703778865287e-4,9.826176639142536e-64,0.999,3.117600605993233e-32
ecological,land conversion,forestAreaMKM2,t,0.003,1.601880223944245e-5,3.11760060599341e-32,0.999,3.117600605993233e-32
ecological,biodiversity breakdown,extinction1900,(Intercept),10,2.0992838453052073e-15,4.98565094426276e-302,0.49,1.7270667137248935e-4
ecological,biodiversity breakdown,extinction1900,t,0,1.7112084407460931e-16,0.09866044654890496,0.49,1.7270667137248935e-4
ecological,biodiversity breakdown,hanppGtC,(Intercept),2.612,9.520475301495364e-17,1.1957620657724005e-301,1,1.3338079286202923e-281
ecological,biodiversity breakdown,hanppGtC,t,0.02,8.143804317141356e-18,1.3338079286202923e-281,1,1.3338079286202923e-281
ecological,ozone depletion,totalOzone,(Intercept),0.478,0.08125767593138462,9.373173436104879e-6,-0.05,0.953486656192339
ecological,ozone depletion,totalOzone,t,0,0.006623631255971496,0.9534866561923383,-0.05,0.953486656192339
social,food,foodInsecurity,(Intercept),0.027,0.02499443390418107,0.3133975839390583,0.918,1.1194749726300099e-4
social,food,foodInsecurity,t,0.013,0.0014161663782495172,1.119474972630003e-4,0.918,1.1194749726300099e-4
social,food,undernourishment,(Intercept),0.129,0.004847645811369676,4.686074341020959e-17,0.699,7.74805436196915e-7
social,food,undernourishment,t,-0.003,3.951505866495726e-4,7.748054361969208e-7,0.699,7.74805436196915e-7
social,health,noUniversalHealth,(Intercept),0.726,0.002323420838557472,2.2902840974810686e-38,0.987,2.150264290026726e-20
social,health,noUniversalHealth,t,-0.007,1.8939112779991295e-4,2.1502642900268328e-20,0.987,2.150264290026726e-20
social,health,under5death,(Intercept),0.688,0.03052879697818434,1.087502102446481e-15,0.645,4.1208083095733735e-6
social,health,under5death,t,-0.016,0.00248852174953491,4.12080830957344e-6,0.645,4.1208083095733735e-6
social,education,adultLiteracy,(Intercept),0.19,6.369789007176566e-4,2.43770454187782e-36,0.994,1.7562643805554137e-22
social,education,adultLiteracy,t,-0.003,5.448710655000204e-5,1.756264380555401e-22,0.994,1.7562643805554137e-22
social,education,secondarySchool,(Intercept),0.637,0.002686060852152679,5.617707984128959e-36,0.991,2.17219564854498e-22
social,education,secondarySchool,t,-0.011,2.1895133489645144e-4,2.172195648545026e-22,0.991,2.17219564854498e-22
