domain,dimension,date,indicator,value
ecological,climate change,2000,co2_ppm,368.83
ecological,climate change,2001,co2_ppm,370.41
ecological,climate change,2002,co2_ppm,372.42
ecological,climate change,2003,co2_ppm,374.97
ecological,climate change,2004,co2_ppm,376.79
ecological,climate change,2005,co2_ppm,378.82
ecological,climate change,2006,co2_ppm,380.96
ecological,climate change,2007,co2_ppm,382.69
ecological,climate change,2008,co2_ppm,384.79
ecological,climate change,2009,co2_ppm,386.29
ecological,climate change,2010,co2_ppm,388.57
ecological,climate change,2011,co2_ppm,390.45
ecological,climate change,2012,co2_ppm,392.46
ecological,climate change,2013,co2_ppm,395.2
ecological,climate change,2014,co2_ppm,397.12
ecological,climate change,2015,co2_ppm,399.42
ecological,climate change,2016,co2_ppm,402.85
ecological,climate change,2017,co2_ppm,405
ecological,climate change,2018,co2_ppm,407.39
ecological,climate change,2019,co2_ppm,409.85
ecological,climate change,2020,co2_ppm,412.3
ecological,climate change,2021,co2_ppm,414.5
ecological,climate change,2000,erf_wm2,1.77
ecological,climate change,2001,erf_wm2,1.79
ecological,climate change,2002,erf_wm2,1.77
ecological,climate change,2003,erf_wm2,1.79
ecological,climate change,2004,erf_wm2,1.82
ecological,climate change,2005,erf_wm2,1.82
ecological,climate change,2006,erf_wm2,1.84
ecological,climate change,2007,erf_wm2,1.91
ecological,climate change,2008,erf_wm2,1.98
ecological,climate change,2009,erf_wm2,2.06
ecological,climate change,2010,erf_wm2,2.12
ecological,climate change,2011,erf_wm2,2.17
ecological,climate change,2012,erf_wm2,2.19
ecological,climate change,2013,erf_wm2,2.3
ecological,climate change,2014,erf_wm2,2.35
ecological,climate change,2015,erf_wm2,2.41
ecological,climate change,2016,erf_wm2,2.54
ecological,climate change,2017,erf_wm2,2.58
ecological,climate change,2018,erf_wm2,2.64
ecological,climate change,2019,erf_wm2,2.64
ecological,climate change,2020,erf_wm2,2.79
ecological,climate change,2021,erf_wm2,2.77
ecological,ocean acidification,2000,omega_a,2.987
ecological,ocean acidification,2001,omega_a,2.986
ecological,ocean acidification,2002,omega_a,2.972
ecological,ocean acidification,2003,omega_a,2.977
ecological,ocean acidification,2004,omega_a,2.963
ecological,ocean acidification,2005,omega_a,2.951
ecological,ocean acidification,2006,omega_a,2.936
ecological,ocean acidification,2007,omega_a,2.917
ecological,ocean acidification,2008,omega_a,2.913
ecological,ocean acidification,2009,omega_a,2.916
ecological,ocean acidification,2010,omega_a,2.906
ecological,ocean acidification,2011,omega_a,2.88
ecological,ocean acidification,2012,omega_a,2.878
ecological,ocean acidification,2013,omega_a,2.88
ecological,ocean acidification,2014,omega_a,2.881
ecological,ocean acidification,2015,omega_a,2.877
ecological,ocean acidification,2016,omega_a,2.856
ecological,ocean acidification,2017,omega_a,2.84
ecological,ocean acidification,2018,omega_a,2.824
ecological,ocean acidification,2019,omega_a,2.827
ecological,ocean acidification,2020,omega_a,2.818
ecological,ocean acidification,2021,omega_a,2.8
ecological,chemical pollution,2000,chemicalsMt,1186
ecological,chemical pollution,2001,chemicalsMt,1250.1176470588234
ecological,chemical pollution,2002,chemicalsMt,1314.235294117647
ecological,chemical pollution,2003,chemicalsMt,1378.3529411764707
ecological,chemical pollution,2004,chemicalsMt,1442.4705882352941
ecological,chemical pollution,2005,chemicalsMt,1506.5882352941176
ecological,chemical pollution,2006,chemicalsMt,1570.7058823529412
ecological,chemical pollution,2007,chemicalsMt,1634.8235294117646
ecological,chemical pollution,2008,chemicalsMt,1698.9411764705883
ecological,chemical pollution,2009,chemicalsMt,1763.0588235294117
ecological,chemical pollution,2010,chemicalsMt,1827.1764705882354
ecological,chemical pollution,2011,chemicalsMt,1891.294117647059
ecological,chemical pollution,2012,chemicalsMt,1955.4117647058824
ecological,chemical pollution,2013,chemicalsMt,2019.5294117647059
ecological,chemical pollution,2014,chemicalsMt,2083.6470588235293
ecological,chemical pollution,2015,chemicalsMt,2147.764705882353
ecological,chemical pollution,2016,chemicalsMt,2211.8823529411766
ecological,chemical pollution,2017,chemicalsMt,2276
ecological,chemical pollution,2018,chemicalsMt,NA
ecological,chemical pollution,2019,chemicalsMt,NA
ecological,chemical pollution,2020,chemicalsMt,NA
ecological,chemical pollution,2021,chemicalsMt,NA
ecological,chemical pollution,2000,EUshare_hzdHealth,76.63
ecological,chemical pollution,2001,EUshare_hzdHealth,76.63
ecological,chemical pollution,2002,EUshare_hzdHealth,76.63
ecological,chemical pollution,2003,EUshare_hzdHealth,76.63
ecological,chemical pollution,2004,EUshare_hzdHealth,76.63
ecological,chemical pollution,2005,EUshare_hzdHealth,76.63
ecological,chemical pollution,2006,EUshare_hzdHealth,76.63
ecological,chemical pollution,2007,EUshare_hzdHealth,76.63
ecological,chemical pollution,2008,EUshare_hzdHealth,76.63
ecological,chemical pollution,2009,EUshare_hzdHealth,76.63
ecological,chemical pollution,2010,EUshare_hzdHealth,76.63
ecological,chemical pollution,2011,EUshare_hzdHealth,76.63
ecological,chemical pollution,2012,EUshare_hzdHealth,76.63
ecological,chemical pollution,2013,EUshare_hzdHealth,76.63
ecological,chemical pollution,2014,EUshare_hzdHealth,76.63
ecological,chemical pollution,2015,EUshare_hzdHealth,76.63
ecological,chemical pollution,2016,EUshare_hzdHealth,76.63
ecological,chemical pollution,2017,EUshare_hzdHealth,76.63
ecological,chemical pollution,2018,EUshare_hzdHealth,76.63
ecological,chemical pollution,2019,EUshare_hzdHealth,76.63
ecological,chemical pollution,2020,EUshare_hzdHealth,76.63
ecological,chemical pollution,2021,EUshare_hzdHealth,76.63
ecological,nutrient pollution,2000,nitrogenMt,132.2432713
ecological,nutrient pollution,2001,nitrogenMt,134.93367778
ecological,nutrient pollution,2002,nitrogenMt,137.62408426000002
ecological,nutrient pollution,2003,nitrogenMt,140.31449074
ecological,nutrient pollution,2004,nitrogenMt,143.00489722
ecological,nutrient pollution,2005,nitrogenMt,145.6953037
ecological,nutrient pollution,2006,nitrogenMt,148.6046776
ecological,nutrient pollution,2007,nitrogenMt,151.5140515
ecological,nutrient pollution,2008,nitrogenMt,154.4234254
ecological,nutrient pollution,2009,nitrogenMt,157.3327993
ecological,nutrient pollution,2010,nitrogenMt,160.2421732
ecological,nutrient pollution,2011,nitrogenMt,163.24602382
ecological,nutrient pollution,2012,nitrogenMt,166.24987444
ecological,nutrient pollution,2013,nitrogenMt,169.25372506
ecological,nutrient pollution,2014,nitrogenMt,172.25757568
ecological,nutrient pollution,2015,nitrogenMt,175.2614263
ecological,nutrient pollution,2016,nitrogenMt,178.13090856
ecological,nutrient pollution,2017,nitrogenMt,181.00039082
ecological,nutrient pollution,2018,nitrogenMt,183.86987308
ecological,nutrient pollution,2019,nitrogenMt,186.73935534
ecological,nutrient pollution,2020,nitrogenMt,189.6088376
ecological,nutrient pollution,2021,nitrogenMt,191.97349848
ecological,nutrient pollution,2000,phosphorusMt,13.549286446478872
ecological,nutrient pollution,2001,phosphorusMt,14.09326414225352
ecological,nutrient pollution,2002,phosphorusMt,14.637241838028167
ecological,nutrient pollution,2003,phosphorusMt,15.181219533802816
ecological,nutrient pollution,2004,phosphorusMt,15.725197229577464
ecological,nutrient pollution,2005,phosphorusMt,16.26917492535211
ecological,nutrient pollution,2006,phosphorusMt,16.690833231549295
ecological,nutrient pollution,2007,phosphorusMt,17.11249153774648
ecological,nutrient pollution,2008,phosphorusMt,17.53414984394366
ecological,nutrient pollution,2009,phosphorusMt,17.955808150140843
ecological,nutrient pollution,2010,phosphorusMt,18.377466456338027
ecological,nutrient pollution,2011,phosphorusMt,18.772538909295772
ecological,nutrient pollution,2012,phosphorusMt,19.16761136225352
ecological,nutrient pollution,2013,phosphorusMt,19.562683815211265
ecological,nutrient pollution,2014,phosphorusMt,19.957756268169014
ecological,nutrient pollution,2015,phosphorusMt,20.35282872112676
ecological,nutrient pollution,2016,phosphorusMt,20.875580629577463
ecological,nutrient pollution,2017,phosphorusMt,21.398332538028168
ecological,nutrient pollution,2018,phosphorusMt,21.921084446478872
ecological,nutrient pollution,2019,phosphorusMt,22.443836354929577
ecological,nutrient pollution,2020,phosphorusMt,22.96658826338028
ecological,nutrient pollution,2021,phosphorusMt,23.069493470704224
ecological,air pollution,2000,interhemAOD,0.08
ecological,air pollution,2001,interhemAOD,0.08
ecological,air pollution,2002,interhemAOD,0.08
ecological,air pollution,2003,interhemAOD,0.08
ecological,air pollution,2004,interhemAOD,0.08
ecological,air pollution,2005,interhemAOD,0.08
ecological,air pollution,2006,interhemAOD,0.08
ecological,air pollution,2007,interhemAOD,0.08
ecological,air pollution,2008,interhemAOD,0.08
ecological,air pollution,2009,interhemAOD,0.08
ecological,air pollution,2010,interhemAOD,0.08
ecological,air pollution,2011,interhemAOD,0.08
ecological,air pollution,2012,interhemAOD,0.08
ecological,air pollution,2013,interhemAOD,0.08
ecological,air pollution,2014,interhemAOD,0.08
ecological,air pollution,2015,interhemAOD,0.08
ecological,air pollution,2016,interhemAOD,0.08
ecological,air pollution,2017,interhemAOD,0.08
ecological,air pollution,2018,interhemAOD,0.08
ecological,air pollution,2019,interhemAOD,0.08
ecological,air pollution,2020,interhemAOD,0.08
ecological,air pollution,2021,interhemAOD,0.08
ecological,freshwater disruption,2000,blueDev,17.826
ecological,freshwater disruption,2001,blueDev,18.639
ecological,freshwater disruption,2002,blueDev,19.002
ecological,freshwater disruption,2003,blueDev,17.695
ecological,freshwater disruption,2004,blueDev,16.962
ecological,freshwater disruption,2005,blueDev,18.596
ecological,freshwater disruption,2006,blueDev,NA
ecological,freshwater disruption,2007,blueDev,NA
ecological,freshwater disruption,2008,blueDev,NA
ecological,freshwater disruption,2009,blueDev,NA
ecological,freshwater disruption,2010,blueDev,NA
ecological,freshwater disruption,2011,blueDev,NA
ecological,freshwater disruption,2012,blueDev,NA
ecological,freshwater disruption,2013,blueDev,NA
ecological,freshwater disruption,2014,blueDev,NA
ecological,freshwater disruption,2015,blueDev,NA
ecological,freshwater disruption,2016,blueDev,NA
ecological,freshwater disruption,2017,blueDev,NA
ecological,freshwater disruption,2018,blueDev,NA
ecological,freshwater disruption,2019,blueDev,NA
ecological,freshwater disruption,2020,blueDev,NA
ecological,freshwater disruption,2021,blueDev,NA
ecological,freshwater disruption,2000,soilDev,15.434
ecological,freshwater disruption,2001,soilDev,16.371
ecological,freshwater disruption,2002,soilDev,15.837
ecological,freshwater disruption,2003,soilDev,16.021
ecological,freshwater disruption,2004,soilDev,16.015
ecological,freshwater disruption,2005,soilDev,17.355
ecological,freshwater disruption,2006,soilDev,16.83
ecological,freshwater disruption,2007,soilDev,17.016
ecological,freshwater disruption,2008,soilDev,18.441
ecological,freshwater disruption,2009,soilDev,18.957
ecological,freshwater disruption,2010,soilDev,18.677
ecological,freshwater disruption,2011,soilDev,18.211
ecological,freshwater disruption,2012,soilDev,17.812
ecological,freshwater disruption,2013,soilDev,19.739
ecological,freshwater disruption,2014,soilDev,19.253
ecological,freshwater disruption,2015,soilDev,NA
ecological,freshwater disruption,2016,soilDev,NA
ecological,freshwater disruption,2017,soilDev,NA
ecological,freshwater disruption,2018,soilDev,NA
ecological,freshwater disruption,2019,soilDev,NA
ecological,freshwater disruption,2020,soilDev,NA
ecological,freshwater disruption,2021,soilDev,NA
ecological,land conversion,2000,forestAreaMKM2,39.21
ecological,land conversion,2001,forestAreaMKM2,39.16
ecological,land conversion,2002,forestAreaMKM2,39.11
ecological,land conversion,2003,forestAreaMKM2,39.06
ecological,land conversion,2004,forestAreaMKM2,39.01
ecological,land conversion,2005,forestAreaMKM2,38.96
ecological,land conversion,2006,forestAreaMKM2,38.91
ecological,land conversion,2007,forestAreaMKM2,38.87
ecological,land conversion,2008,forestAreaMKM2,38.82
ecological,land conversion,2009,forestAreaMKM2,38.77
ecological,land conversion,2010,forestAreaMKM2,38.72
ecological,land conversion,2011,forestAreaMKM2,38.68
ecological,land conversion,2012,forestAreaMKM2,38.64
ecological,land conversion,2013,forestAreaMKM2,38.59
ecological,land conversion,2014,forestAreaMKM2,38.55
ecological,land conversion,2015,forestAreaMKM2,38.51
ecological,land conversion,2016,forestAreaMKM2,38.46
ecological,land conversion,2017,forestAreaMKM2,38.41
ecological,land conversion,2018,forestAreaMKM2,38.37
ecological,land conversion,2019,forestAreaMKM2,38.32
ecological,land conversion,2020,forestAreaMKM2,38.27
ecological,biodiversity breakdown,2000,extinction1900,100
ecological,biodiversity breakdown,2001,extinction1900,100
ecological,biodiversity breakdown,2002,extinction1900,100
ecological,biodiversity breakdown,2003,extinction1900,100
ecological,biodiversity breakdown,2004,extinction1900,100
ecological,biodiversity breakdown,2005,extinction1900,100
ecological,biodiversity breakdown,2006,extinction1900,100
ecological,biodiversity breakdown,2007,extinction1900,100
ecological,biodiversity breakdown,2008,extinction1900,100
ecological,biodiversity breakdown,2009,extinction1900,100
ecological,biodiversity breakdown,2010,extinction1900,100
ecological,biodiversity breakdown,2011,extinction1900,100
ecological,biodiversity breakdown,2012,extinction1900,100
ecological,biodiversity breakdown,2013,extinction1900,100
ecological,biodiversity breakdown,2014,extinction1900,100
ecological,biodiversity breakdown,2015,extinction1900,100
ecological,biodiversity breakdown,2016,extinction1900,100
ecological,biodiversity breakdown,2017,extinction1900,100
ecological,biodiversity breakdown,2018,extinction1900,100
ecological,biodiversity breakdown,2019,extinction1900,100
ecological,biodiversity breakdown,2020,extinction1900,100
ecological,biodiversity breakdown,2021,extinction1900,100
ecological,biodiversity breakdown,2000,hanppGtC,14.6
ecological,biodiversity breakdown,2001,hanppGtC,14.709999999999999
ecological,biodiversity breakdown,2002,hanppGtC,14.82
ecological,biodiversity breakdown,2003,hanppGtC,14.93
ecological,biodiversity breakdown,2004,hanppGtC,15.04
ecological,biodiversity breakdown,2005,hanppGtC,15.15
ecological,biodiversity breakdown,2006,hanppGtC,15.26
ecological,biodiversity breakdown,2007,hanppGtC,15.37
ecological,biodiversity breakdown,2008,hanppGtC,15.48
ecological,biodiversity breakdown,2009,hanppGtC,15.59
ecological,biodiversity breakdown,2010,hanppGtC,15.7
ecological,biodiversity breakdown,2011,hanppGtC,15.81
ecological,biodiversity breakdown,2012,hanppGtC,15.92
ecological,biodiversity breakdown,2013,hanppGtC,16.03
ecological,biodiversity breakdown,2014,hanppGtC,16.14
ecological,biodiversity breakdown,2015,hanppGtC,16.25
ecological,biodiversity breakdown,2016,hanppGtC,16.36
ecological,biodiversity breakdown,2017,hanppGtC,16.47
ecological,biodiversity breakdown,2018,hanppGtC,16.580000000000002
ecological,biodiversity breakdown,2019,hanppGtC,16.69
ecological,biodiversity breakdown,2020,hanppGtC,16.8
ecological,biodiversity breakdown,2021,hanppGtC,NA
ecological,ozone depletion,2000,totalOzone,284.3
ecological,ozone depletion,2001,totalOzone,284.8
ecological,ozone depletion,2002,totalOzone,280.4
ecological,ozone depletion,2003,totalOzone,286.2
ecological,ozone depletion,2004,totalOzone,279.5
ecological,ozone depletion,2005,totalOzone,284.9
ecological,ozone depletion,2006,totalOzone,279
ecological,ozone depletion,2007,totalOzone,285.8
ecological,ozone depletion,2008,totalOzone,280.1
ecological,ozone depletion,2009,totalOzone,284
ecological,ozone depletion,2010,totalOzone,285.7
ecological,ozone depletion,2011,totalOzone,285.4
ecological,ozone depletion,2012,totalOzone,285.4
ecological,ozone depletion,2013,totalOzone,279.7
ecological,ozone depletion,2014,totalOzone,285.5
ecological,ozone depletion,2015,totalOzone,285.4
ecological,ozone depletion,2016,totalOzone,279.2
ecological,ozone depletion,2017,totalOzone,283.7
ecological,ozone depletion,2018,totalOzone,286.3
ecological,ozone depletion,2019,totalOzone,279.6
ecological,ozone depletion,2020,totalOzone,282
ecological,ozone depletion,2021,totalOzone,284.6
social,food,2000,undernourishment,13
social,food,2001,undernourishment,13.1
social,food,2002,undernourishment,13.3
social,food,2003,undernourishment,13
social,food,2004,undernourishment,12.9
social,food,2005,undernourishment,12.3
social,food,2006,undernourishment,11.5
social,food,2007,undernourishment,10.5
social,food,2008,undernourishment,10
social,food,2009,undernourishment,9.8
social,food,2010,undernourishment,8.6
social,food,2011,undernourishment,8.3
social,food,2012,undernourishment,8.2
social,food,2013,undernourishment,7.9
social,food,2014,undernourishment,7.8
social,food,2015,undernourishment,8
social,food,2016,undernourishment,7.8
social,food,2017,undernourishment,7.6
social,food,2018,undernourishment,7.7
social,food,2019,undernourishment,8
social,food,2020,undernourishment,9.3
social,food,2021,undernourishment,9.8
social,food,2000,foodInsecurity,NA
social,food,2001,foodInsecurity,NA
social,food,2002,foodInsecurity,NA
social,food,2003,foodInsecurity,NA
social,food,2004,foodInsecurity,NA
social,food,2005,foodInsecurity,NA
social,food,2006,foodInsecurity,NA
social,food,2007,foodInsecurity,NA
social,food,2008,foodInsecurity,NA
social,food,2009,foodInsecurity,NA
social,food,2010,foodInsecurity,NA
social,food,2011,foodInsecurity,NA
social,food,2012,foodInsecurity,NA
social,food,2013,foodInsecurity,NA
social,food,2014,foodInsecurity,21.2
social,food,2015,foodInsecurity,21.5
social,food,2016,foodInsecurity,22.7
social,food,2017,foodInsecurity,23.9
social,food,2018,foodInsecurity,25
social,food,2019,foodInsecurity,25.4
social,food,2020,foodInsecurity,29.5
social,food,2021,foodInsecurity,29.3
social,health,2000,under5death,75.5
social,health,2001,under5death,75.1
social,health,2002,under5death,75.2
social,health,2003,under5death,73.4
social,health,2004,under5death,73.6
social,health,2005,under5death,50.4
social,health,2006,under5death,46.8
social,health,2007,under5death,47
social,health,2008,under5death,46.9
social,health,2009,under5death,47.2
social,health,2010,under5death,47.3
social,health,2011,under5death,47.5
social,health,2012,under5death,47.6
social,health,2013,under5death,47.4
social,health,2014,under5death,45.9
social,health,2015,under5death,46.1
social,health,2016,under5death,45.7
social,health,2017,under5death,45.7
social,health,2018,under5death,42.4
social,health,2019,under5death,42.5
social,health,2020,under5death,42.8
social,health,2021,under5death,42.2
social,health,2000,noUniversalHealth,72
social,health,2001,noUniversalHealth,71.4
social,health,2002,noUniversalHealth,70.8
social,health,2003,noUniversalHealth,70.2
social,health,2004,noUniversalHealth,69.6
social,health,2005,noUniversalHealth,69
social,health,2006,noUniversalHealth,68.4
social,health,2007,noUniversalHealth,67.8
social,health,2008,noUniversalHealth,67.2
social,health,2009,noUniversalHealth,66.6
social,health,2010,noUniversalHealth,66
social,health,2011,noUniversalHealth,65
social,health,2012,noUniversalHealth,64
social,health,2013,noUniversalHealth,63
social,health,2014,noUniversalHealth,62
social,health,2015,noUniversalHealth,61
social,health,2016,noUniversalHealth,60
social,health,2017,noUniversalHealth,59
social,health,2018,noUniversalHealth,58.5
social,health,2019,noUniversalHealth,58
social,health,2020,noUniversalHealth,58
social,health,2021,noUniversalHealth,58
social,education,2000,secondarySchool,63
social,education,2001,secondarySchool,62
social,education,2002,secondarySchool,61
social,education,2003,secondarySchool,60
social,education,2004,secondarySchool,60
social,education,2005,secondarySchool,59
social,education,2006,secondarySchool,58
social,education,2007,secondarySchool,57
social,education,2008,secondarySchool,56
social,education,2009,secondarySchool,55
social,education,2010,secondarySchool,53
social,education,2011,secondarySchool,52
social,education,2012,secondarySchool,50
social,education,2013,secondarySchool,49
social,education,2014,secondarySchool,48
social,education,2015,secondarySchool,47
social,education,2016,secondarySchool,46
social,education,2017,secondarySchool,45
social,education,2018,secondarySchool,44
social,education,2019,secondarySchool,43
social,education,2020,secondarySchool,42
social,education,2021,secondarySchool,42
social,education,2000,adultLiteracy,19.099999999999994
social,education,2001,adultLiteracy,18.799999999999997
social,education,2002,adultLiteracy,18.400000000000006
social,education,2003,adultLiteracy,17.900000000000006
social,education,2004,adultLiteracy,17.5
social,education,2005,adultLiteracy,17.599999999999994
social,education,2006,adultLiteracy,17.400000000000006
social,education,2007,adultLiteracy,17.099999999999994
social,education,2008,adultLiteracy,16.599999999999994
social,education,2009,adultLiteracy,16.299999999999997
social,education,2010,adultLiteracy,15.900000000000006
social,education,2011,adultLiteracy,15.700000000000003
social,education,2012,adultLiteracy,15.200000000000003
social,education,2013,adultLiteracy,15
social,education,2014,adultLiteracy,14.599999999999994
social,education,2015,adultLiteracy,14.400000000000006
social,education,2016,adultLiteracy,14
social,education,2017,adultLiteracy,13.799999999999997
social,education,2018,adultLiteracy,13.700000000000003
social,education,2019,adultLiteracy,13.299999999999997
social,education,2020,adultLiteracy,13.200000000000003
social,education,2021,adultLiteracy,NA
social,income and work,2000,youthNEET,NA
social,income and work,2001,youthNEET,NA
social,income and work,2002,youthNEET,NA
social,income and work,2003,youthNEET,NA
social,income and work,2004,youthNEET,NA
social,income and work,2005,youthNEET,24.26
social,income and work,2006,youthNEET,23.77
social,income and work,2007,youthNEET,23.3
social,income and work,2008,youthNEET,22.91
social,income and work,2009,youthNEET,22.87
social,income and work,2010,youthNEET,22.45
social,income and work,2011,youthNEET,22.14
social,income and work,2012,youthNEET,21.83
