domain,dimension,indicator,date,value,BAU_low,BAU_high
ecological,air pollution,interhemAOD,2022,0.08,0.08,0.08
ecological,air pollution,interhemAOD,2023,0.08,0.08,0.08
ecological,air pollution,interhemAOD,2024,0.08,0.08,0.08
ecological,air pollution,interhemAOD,2025,0.08,0.08,0.08
ecological,air pollution,interhemAOD,2026,0.08,0.08,0.08
ecological,air pollution,interhemAOD,2027,0.08,0.08,0.08
ecological,air pollution,interhemAOD,2028,0.08,0.08,0.08
ecological,air pollution,interhemAOD,2029,0.08,0.08,0.08
ecological,air pollution,interhemAOD,2030,0.08,0.08,0.08
ecological,biodiversity breakdown,extinction1900,2022,100,100,100
ecological,biodiversity breakdown,extinction1900,2023,100,100,100
ecological,biodiversity breakdown,extinction1900,2024,100,100,100
ecological,biodiversity breakdown,extinction1900,2025,100,100,100
ecological,biodiversity breakdown,extinction1900,2026,100,100,100
ecological,biodiversity breakdown,extinction1900,2027,100,100,100
ecological,biodiversity breakdown,extinction1900,2028,100,100,100
ecological,biodiversity breakdown,extinction1900,2029,100,100,100
ecological,biodiversity breakdown,extinction1900,2030,100,100,100
ecological,biodiversity breakdown,hanppGtC,2021,16.909999999999997,16.909999999999993,16.91
ecological,biodiversity breakdown,hanppGtC,2022,17.019999999999996,17.019999999999992,17.02
ecological,biodiversity breakdown,hanppGtC,2023,17.129999999999995,17.129999999999992,17.13
ecological,biodiversity breakdown,hanppGtC,2024,17.239999999999995,17.23999999999999,17.24
ecological,biodiversity breakdown,hanppGtC,2025,17.349999999999994,17.34999999999999,17.349999999999998
ecological,biodiversity breakdown,hanppGtC,2026,17.459999999999994,17.45999999999999,17.459999999999997
ecological,biodiversity breakdown,hanppGtC,2027,17.569999999999997,17.569999999999993,17.57
ecological,biodiversity breakdown,hanppGtC,2028,17.679999999999996,17.679999999999993,17.68
ecological,biodiversity breakdown,hanppGtC,2029,17.789999999999996,17.789999999999992,17.79
ecological,biodiversity breakdown,hanppGtC,2030,17.899999999999995,17.89999999999999,17.9
ecological,chemical pollution,chemicalsMt,2018,2340.1176470588234,2340.1176470588234,2340.1176470588234
ecological,chemical pollution,chemicalsMt,2019,2404.235294117647,2404.235294117647,2404.235294117647
ecological,chemical pollution,chemicalsMt,2020,2468.3529411764707,2468.3529411764707,2468.3529411764707
ecological,chemical pollution,chemicalsMt,2021,2532.470588235294,2532.470588235294,2532.470588235294
ecological,chemical pollution,chemicalsMt,2022,2596.5882352941176,2596.5882352941176,2596.5882352941176
ecological,chemical pollution,chemicalsMt,2023,2660.705882352941,2660.705882352941,2660.705882352941
ecological,chemical pollution,chemicalsMt,2024,2724.8235294117644,2724.8235294117644,2724.8235294117644
ecological,chemical pollution,chemicalsMt,2025,2788.9411764705883,2788.9411764705883,2788.9411764705883
ecological,chemical pollution,chemicalsMt,2026,2853.0588235294117,2853.0588235294117,2853.0588235294117
ecological,chemical pollution,chemicalsMt,2027,2917.176470588235,2917.176470588235,2917.176470588235
ecological,chemical pollution,chemicalsMt,2028,2981.2941176470586,2981.2941176470586,2981.2941176470586
ecological,chemical pollution,chemicalsMt,2029,3045.411764705882,3045.411764705882,3045.411764705882
ecological,chemical pollution,chemicalsMt,2030,3109.5294117647054,3109.5294117647054,3109.5294117647054
ecological,chemical pollution,EUshare_hzdHealth,2022,76.63,76.63,76.63
ecological,chemical pollution,EUshare_hzdHealth,2023,76.63,76.63,76.63
ecological,chemical pollution,EUshare_hzdHealth,2024,76.63,76.63,76.63
ecological,chemical pollution,EUshare_hzdHealth,2025,76.63,76.63,76.63
ecological,chemical pollution,EUshare_hzdHealth,2026,76.63,76.63,76.63
ecological,chemical pollution,EUshare_hzdHealth,2027,76.63,76.63,76.63
ecological,chemical pollution,EUshare_hzdHealth,2028,76.63,76.63,76.63
ecological,chemical pollution,EUshare_hzdHealth,2029,76.63,76.63,76.63
ecological,chemical pollution,EUshare_hzdHealth,2030,76.63,76.63,76.63
ecological,climate change,co2_ppm,2022,416.85119072468484,416.4229967668687,417.27938468250096
ecological,climate change,co2_ppm,2023,419.097098480104,418.5008644751159,419.6933324850921
ecological,climate change,co2_ppm,2024,421.34300623552326,420.4814993240677,422.2045131469788
ecological,climate change,co2_ppm,2025,423.5889139909425,422.39273756121173,424.78509042067327
ecological,climate change,co2_ppm,2026,425.83482174636174,424.2506029348018,427.4190405579217
ecological,climate change,co2_ppm,2027,428.0807295017809,426.06375464211766,430.0977043614442
ecological,climate change,co2_ppm,2028,430.32663725720016,427.83738929408236,432.81588522031797
ecological,climate change,co2_ppm,2029,432.5725450126194,429.57497885535986,435.57011116987894
ecological,climate change,co2_ppm,2030,434.8184527680386,431.27904135961234,438.35786417646483
ecological,climate change,erf_wm2,2022,2.84014102287624,2.7869659523086057,2.893316093443875
ecological,climate change,erf_wm2,2023,2.887979122534339,2.8126949254550886,2.96326331961359
ecological,climate change,erf_wm2,2024,2.935817222192438,2.8310053417261756,3.0406291026587007
ecological,climate change,erf_wm2,2025,2.983655321850537,2.8436427889208407,3.1236678547802335
ecological,climate change,erf_wm2,2026,3.031493421508636,2.851571431158914,3.211415411858358
ecological,climate change,erf_wm2,2027,3.0793315211667354,2.8553453534973356,3.303317688836135
