scenario,domain,dimension,indicator,date,value,BAU_low,BAU_high,boundary
historical,ecological,climate change,co2_ppm,2000,368.83,NA,NA,350
historical,ecological,climate change,co2_ppm,2001,370.41,NA,NA,350
historical,ecological,climate change,co2_ppm,2002,372.42,NA,NA,350
historical,ecological,climate change,co2_ppm,2003,374.97,NA,NA,350
historical,ecological,climate change,co2_ppm,2004,376.79,NA,NA,350
historical,ecological,climate change,co2_ppm,2005,378.82,NA,NA,350
historical,ecological,climate change,co2_ppm,2006,380.96,NA,NA,350
historical,ecological,climate change,co2_ppm,2007,382.69,NA,NA,350
historical,ecological,climate change,co2_ppm,2008,384.79,NA,NA,350
historical,ecological,climate change,co2_ppm,2009,386.29,NA,NA,350
historical,ecological,climate change,co2_ppm,2010,388.57,NA,NA,350
historical,ecological,climate change,co2_ppm,2011,390.45,NA,NA,350
historical,ecological,climate change,co2_ppm,2012,392.46,NA,NA,350
historical,ecological,climate change,co2_ppm,2013,395.2,NA,NA,350
historical,ecological,climate change,co2_ppm,2014,397.12,NA,NA,350
historical,ecological,climate change,co2_ppm,2015,399.42,NA,NA,350
historical,ecological,climate change,co2_ppm,2016,402.85,NA,NA,350
historical,ecological,climate change,co2_ppm,2017,405,NA,NA,350
historical,ecological,climate change,co2_ppm,2018,407.39,NA,NA,350
historical,ecological,climate change,co2_ppm,2019,409.85,NA,NA,350
historical,ecological,climate change,co2_ppm,2020,412.3,NA,NA,350
historical,ecological,climate change,co2_ppm,2021,414.5,NA,NA,350
bau,ecological,climate change,co2_ppm,2022,416.85119072468484,416.4229967668687,417.27938468250096,350
bau,ecological,climate change,co2_ppm,2023,419.097098480104,418.5008644751159,419.6933324850921,350
bau,ecological,climate change,co2_ppm,2024,421.34300623552326,420.4814993240677,422.2045131469788,350
bau,ecological,climate change,co2_ppm,2025,423.5889139909425,422.39273756121173,424.78509042067327,350
bau,ecological,climate change,co2_ppm,2026,425.83482174636174,424.2506029348018,427.4190405579217,350
bau,ecological,climate change,co2_ppm,2027,428.0807295017809,426.06375464211766,430.0977043614442,350
bau,ecological,climate change,co2_ppm,2028,430.32663725720016,427.83738929408236,432.81588522031797,350
bau,ecological,climate change,co2_ppm,2029,432.5725450126194,429.57497885535986,435.57011116987894,350
bau,ecological,climate change,co2_ppm,2030,434.8184527680386,431.27904135961234,438.35786417646483,350
historical,ecological,climate change,erf_wm2,2000,1.77,NA,NA,1
historical,ecological,climate change,erf_wm2,2001,1.79,NA,NA,1
historical,ecological,climate change,erf_wm2,2002,1.77,NA,NA,1
historical,ecological,climate change,erf_wm2,2003,1.79,NA,NA,1
historical,ecological,climate change,erf_wm2,2004,1.82,NA,NA,1
historical,ecological,climate change,erf_wm2,2005,1.82,NA,NA,1
historical,ecological,climate change,erf_wm2,2006,1.84,NA,NA,1
historical,ecological,climate change,erf_wm2,2007,1.91,NA,NA,1
historical,ecological,climate change,erf_wm2,2008,1.98,NA,NA,1
historical,ecological,climate change,erf_wm2,2009,2.06,NA,NA,1
historical,ecological,climate change,erf_wm2,2010,2.12,NA,NA,1
historical,ecological,climate change,erf_wm2,2011,2.17,NA,NA,1
historical,ecological,climate change,erf_wm2,2012,2.19,NA,NA,1
historical,ecological,climate change,erf_wm2,2013,2.3,NA,NA,1
historical,ecological,climate change,erf_wm2,2014,2.35,NA,NA,1
historical,ecological,climate change,erf_wm2,2015,2.41,NA,NA,1
historical,ecological,climate change,erf_wm2,2016,2.54,NA,NA,1
historical,ecological,climate change,erf_wm2,2017,2.58,NA,NA,1
historical,ecological,climate change,erf_wm2,2018,2.64,NA,NA,1
historical,ecological,climate change,erf_wm2,2019,2.64,NA,NA,1
historical,ecological,climate change,erf_wm2,2020,2.79,NA,NA,1
historical,ecological,climate change,erf_wm2,2021,2.77,NA,NA,1
bau,ecological,climate change,erf_wm2,2022,2.84014102287624,2.7869659523086057,2.893316093443875,1
bau,ecological,climate change,erf_wm2,2023,2.887979122534339,2.8126949254550886,2.96326331961359,1
bau,ecological,climate change,erf_wm2,2024,2.935817222192438,2.8310053417261756,3.0406291026587007,1
bau,ecological,climate change,erf_wm2,2025,2.983655321850537,2.8436427889208407,3.1236678547802335,1
bau,ecological,climate change,erf_wm2,2026,3.031493421508636,2.851571431158914,3.211415411858358,1
bau,ecological,climate change,erf_wm2,2027,3.0793315211667354,2.8553453534973356,3.303317688836135,1
bau,ecological,climate change,erf_wm2,2028,3.1271696208248345,2.8553130781874607,3.3990261634622083,1
bau,ecological,climate change,erf_wm2,2029,3.1750077204829337,2.8517118696859725,3.498303571279895,1
bau,ecological,climate change,erf_wm2,2030,3.222845820141033,2.844713042416337,3.6009785978657285,1
historical,ecological,ocean acidification,omega_a,2000,2.987,NA,NA,2.75
historical,ecological,ocean acidification,omega_a,2001,2.986,NA,NA,2.75
historical,ecological,ocean acidification,omega_a,2002,2.972,NA,NA,2.75
historical,ecological,ocean acidification,omega_a,2003,2.977,NA,NA,2.75
historical,ecological,ocean acidification,omega_a,2004,2.963,NA,NA,2.75
historical,ecological,ocean acidification,omega_a,2005,2.951,NA,NA,2.75
historical,ecological,ocean acidification,omega_a,2006,2.936,NA,NA,2.75
historical,ecological,ocean acidification,omega_a,2007,2.917,NA,NA,2.75
historical,ecological,ocean acidification,omega_a,2008,2.913,NA,NA,2.75
historical,ecological,ocean acidification,omega_a,2009,2.916,NA,NA,2.75
historical,ecological,ocean acidification,omega_a,2010,2.906,NA,NA,2.75
historical,ecological,ocean acidification,omega_a,2011,2.88,NA,NA,2.75
historical,ecological,ocean acidification,omega_a,2012,2.878,NA,NA,2.75
historical,ecological,ocean acidification,omega_a,2013,2.88,NA,NA,2.75
historical,ecological,ocean acidification,omega_a,2014,2.881,NA,NA,2.75
historical,ecological,ocean acidification,omega_a,2015,2.877,NA,NA,2.75
historical,ecological,ocean acidification,omega_a,2016,2.856,NA,NA,2.75
historical,ecological,ocean acidification,omega_a,2017,2.84,NA,NA,2.75
historical,ecological,ocean acidification,omega_a,2018,2.824,NA,NA,2.75
historical,ecological,ocean acidification,omega_a,2019,2.827,NA,NA,2.75
historical,ecological,ocean acidification,omega_a,2020,2.818,NA,NA,2.75
historical,ecological,ocean acidification,omega_a,2021,2.8,NA,NA,2.75
bau,ecological,ocean acidification,omega_a,2022,2.791095238095247,2.7823377241426948,2.799852752047799,2.75
bau,ecological,ocean acidification,omega_a,2023,2.7821904761904936,2.769805481186123,2.7945754711948645,2.75
bau,ecological,ocean acidification,omega_a,2024,2.7732857142857408,2.7581172551719275,2.788454173399554,2.75
bau,ecological,ocean acidification,omega_a,2025,2.7643809523809875,2.7468659244758835,2.7818959802860914,2.75
bau,ecological,ocean acidification,omega_a,2026,2.7554761904762346,2.7358937939644257,2.7750585869880435,2.75
bau,ecological,ocean acidification,omega_a,2027,2.7465714285714817,2.725119987972425,2.7680228691705384,2.75
bau,ecological,ocean acidification,omega_a,2028,2.7376666666667284,2.7144964626450974,2.7608368706883595,2.75
bau,ecological,ocean acidification,omega_a,2029,2.7287619047619756,2.7039919147532343,2.753531894770717,2.75
bau,ecological,ocean acidification,omega_a,2030,2.7198571428572222,2.693584600999566,2.7461296847148784,2.75
historical,ecological,chemical pollution,chemicalsMt,2000,1186,NA,NA,NA
historical,ecological,chemical pollution,chemicalsMt,2001,1250.1176470588234,NA,NA,NA
historical,ecological,chemical pollution,chemicalsMt,2002,1314.235294117647,NA,NA,NA
historical,ecological,chemical pollution,chemicalsMt,2003,1378.3529411764707,NA,NA,NA
historical,ecological,chemical pollution,chemicalsMt,2004,1442.4705882352941,NA,NA,NA
historical,ecological,chemical pollution,chemicalsMt,2005,1506.5882352941176,NA,NA,NA
historical,ecological,chemical pollution,chemicalsMt,2006,1570.7058823529412,NA,NA,NA
historical,ecological,chemical pollution,chemicalsMt,2007,1634.8235294117646,NA,NA,NA
historical,ecological,chemical pollution,chemicalsMt,2008,1698.9411764705883,NA,NA,NA
historical,ecological,chemical pollution,chemicalsMt,2009,1763.0588235294117,NA,NA,NA
historical,ecological,chemical pollution,chemicalsMt,2010,1827.1764705882354,NA,NA,NA
historical,ecological,chemical pollution,chemicalsMt,2011,1891.294117647059,NA,NA,NA
historical,ecological,chemical pollution,chemicalsMt,2012,1955.4117647058824,NA,NA,NA
historical,ecological,chemical pollution,chemicalsMt,2013,2019.5294117647059,NA,NA,NA
historical,ecological,chemical pollution,chemicalsMt,2014,2083.6470588235293,NA,NA,NA
historical,ecological,chemical pollution,chemicalsMt,2015,2147.764705882353,NA,NA,NA
historical,ecological,chemical pollution,chemicalsMt,2016,2211.8823529411766,NA,NA,NA
historical,ecological,chemical pollution,chemicalsMt,2017,2276,NA,NA,NA
bau,ecological,chemical pollution,chemicalsMt,2018,2340.1176470588234,NA,NA,NA
bau,ecological,chemical pollution,chemicalsMt,2019,2404.235294117647,NA,NA,NA
bau,ecological,chemical pollution,chemicalsMt,2020,2468.3529411764707,NA,NA,NA
bau,ecological,chemical pollution,chemicalsMt,2021,2532.470588235294,NA,NA,NA
bau,ecological,chemical pollution,chemicalsMt,2022,2596.5882352941176,2596.5882352941176,2596.5882352941176,NA
bau,ecological,chemical pollution,chemicalsMt,2023,2660.705882352941,2660.705882352941,2660.705882352941,NA
bau,ecological,chemical pollution,chemicalsMt,2024,2724.8235294117644,2724.8235294117644,2724.8235294117644,NA
