scenario,place,placeCode,domain,dimension,indicator,indicatorCode,date,value,BAU_low,BAU_high,boundary,ratio,ratio_low,ratio_high
historical,World,WLD,ecological,climate change,co2_ppm,clim1,2000,368.83,NA,NA,350,1.2689999999999997,NA,NA
historical,World,WLD,ecological,climate change,co2_ppm,clim1,2001,370.41,NA,NA,350,1.291571428571429,NA,NA
historical,World,WLD,ecological,climate change,co2_ppm,clim1,2002,372.42,NA,NA,350,1.3202857142857145,NA,NA
historical,World,WLD,ecological,climate change,co2_ppm,clim1,2003,374.97,NA,NA,350,1.3567142857142862,NA,NA
historical,World,WLD,ecological,climate change,co2_ppm,clim1,2004,376.79,NA,NA,350,1.382714285714286,NA,NA
historical,World,WLD,ecological,climate change,co2_ppm,clim1,2005,378.82,NA,NA,350,1.4117142857142857,NA,NA
historical,World,WLD,ecological,climate change,co2_ppm,clim1,2006,380.96,NA,NA,350,1.442285714285714,NA,NA
historical,World,WLD,ecological,climate change,co2_ppm,clim1,2007,382.69,NA,NA,350,1.4669999999999999,NA,NA
historical,World,WLD,ecological,climate change,co2_ppm,clim1,2008,384.79,NA,NA,350,1.4970000000000003,NA,NA
historical,World,WLD,ecological,climate change,co2_ppm,clim1,2009,386.29,NA,NA,350,1.5184285714285717,NA,NA
historical,World,WLD,ecological,climate change,co2_ppm,clim1,2010,388.57,NA,NA,350,1.551,NA,NA
historical,World,WLD,ecological,climate change,co2_ppm,clim1,2011,390.45,NA,NA,350,1.5778571428571426,NA,NA
historical,World,WLD,ecological,climate change,co2_ppm,clim1,2012,392.46,NA,NA,350,1.6065714285714283,NA,NA
historical,World,WLD,ecological,climate change,co2_ppm,clim1,2013,395.2,NA,NA,350,1.6457142857142855,NA,NA
historical,World,WLD,ecological,climate change,co2_ppm,clim1,2014,397.12,NA,NA,350,1.6731428571428573,NA,NA
historical,World,WLD,ecological,climate change,co2_ppm,clim1,2015,399.42,NA,NA,350,1.7060000000000002,NA,NA
historical,World,WLD,ecological,climate change,co2_ppm,clim1,2016,402.85,NA,NA,350,1.7550000000000003,NA,NA
historical,World,WLD,ecological,climate change,co2_ppm,clim1,2017,405,NA,NA,350,1.7857142857142858,NA,NA
historical,World,WLD,ecological,climate change,co2_ppm,clim1,2018,407.39,NA,NA,350,1.8198571428571426,NA,NA
historical,World,WLD,ecological,climate change,co2_ppm,clim1,2019,409.85,NA,NA,350,1.8550000000000004,NA,NA
historical,World,WLD,ecological,climate change,co2_ppm,clim1,2020,412.3,NA,NA,350,1.8900000000000001,NA,NA
historical,World,WLD,ecological,climate change,co2_ppm,clim1,2021,414.5,NA,NA,350,1.9214285714285715,NA,NA
bau,World,WLD,ecological,climate change,co2_ppm,clim1,2022,416.85119072468484,416.4229967668687,417.27938468250096,350,1.9550170103526405,1.9488999538124103,1.961134066892871
bau,World,WLD,ecological,climate change,co2_ppm,clim1,2023,419.097098480104,418.5008644751159,419.6933324850921,350,1.9871014068586288,1.9785837782159417,1.9956190355013161
bau,World,WLD,ecological,climate change,co2_ppm,clim1,2024,421.34300623552326,420.4814993240677,422.2045131469788,350,2.019185803364618,2.006878561772396,2.03149304495684
