domain,dimension,indicator,indicatorCode,date,ratio,.fitted
ecological,climate change,co2_ppm,clim1,2000,0.2689999999999997,0.25333483907396914
ecological,climate change,co2_ppm,clim1,2001,0.29157142857142904,0.284376542711946
ecological,climate change,co2_ppm,clim1,2002,0.3202857142857145,0.3154182463499231
ecological,climate change,co2_ppm,clim1,2003,0.3567142857142862,0.3464599499879
ecological,climate change,co2_ppm,clim1,2004,0.382714285714286,0.37750165362587684
ecological,climate change,co2_ppm,clim1,2005,0.4117142857142857,0.40854335726385393
ecological,climate change,co2_ppm,clim1,2006,0.44228571428571395,0.4395850609018308
ecological,climate change,co2_ppm,clim1,2007,0.46699999999999986,0.4706267645398077
ecological,climate change,co2_ppm,clim1,2008,0.49700000000000033,0.5016684681777848
ecological,climate change,co2_ppm,clim1,2009,0.5184285714285717,0.5327101718157616
ecological,climate change,co2_ppm,clim1,2010,0.5509999999999999,0.5637518754537385
ecological,climate change,co2_ppm,clim1,2011,0.5778571428571426,0.5947935790917156
ecological,climate change,co2_ppm,clim1,2012,0.6065714285714283,0.6258352827296925
ecological,climate change,co2_ppm,clim1,2013,0.6457142857142855,0.6568769863676693
ecological,climate change,co2_ppm,clim1,2014,0.6731428571428573,0.6879186900056462
ecological,climate change,co2_ppm,clim1,2015,0.7060000000000002,0.7189603936436233
ecological,climate change,co2_ppm,clim1,2016,0.7550000000000003,0.7500020972816002
ecological,climate change,co2_ppm,clim1,2017,0.7857142857142858,0.7810438009195773
ecological,climate change,co2_ppm,clim1,2018,0.8198571428571426,0.8120855045575541
ecological,climate change,co2_ppm,clim1,2019,0.8550000000000004,0.843127208195531
ecological,climate change,co2_ppm,clim1,2020,0.8900000000000001,0.8741689118335079
ecological,climate change,co2_ppm,clim1,2021,0.9214285714285715,0.905210615471485
ecological,climate change,erf_wm2,clim2,2000,0.77,0.6173517786561269
ecological,climate change,erf_wm2,clim2,2001,0.79,0.67132693393563
ecological,climate change,erf_wm2,clim2,2002,0.77,0.7253020892151332
ecological,climate change,erf_wm2,clim2,2003,0.79,0.7792772444946361
ecological,climate change,erf_wm2,clim2,2004,0.8200000000000001,0.8332523997741392
ecological,climate change,erf_wm2,clim2,2005,0.8200000000000001,0.8872275550536424
ecological,climate change,erf_wm2,clim2,2006,0.8400000000000001,0.9412027103331455
ecological,climate change,erf_wm2,clim2,2007,0.9099999999999999,0.9951778656126486
ecological,climate change,erf_wm2,clim2,2008,0.98,1.0491530208921516
ecological,climate change,erf_wm2,clim2,2009,1.06,1.103128176171655
ecological,climate change,erf_wm2,clim2,2010,1.12,1.1571033314511578
ecological,climate change,erf_wm2,clim2,2011,1.17,1.2110784867306608
ecological,climate change,erf_wm2,clim2,2012,1.19,1.2650536420101641
ecological,climate change,erf_wm2,clim2,2013,1.2999999999999998,1.319028797289667
ecological,climate change,erf_wm2,clim2,2014,1.35,1.37300395256917
ecological,climate change,erf_wm2,clim2,2015,1.4100000000000001,1.4269791078486733
ecological,climate change,erf_wm2,clim2,2016,1.54,1.4809542631281762
ecological,climate change,erf_wm2,clim2,2017,1.58,1.5349294184076796
ecological,climate change,erf_wm2,clim2,2018,1.6400000000000001,1.5889045736871825
ecological,climate change,erf_wm2,clim2,2019,1.6400000000000001,1.6428797289666859
ecological,climate change,erf_wm2,clim2,2020,1.79,1.6968548842461888
ecological,climate change,erf_wm2,clim2,2021,1.77,1.7508300395256917
ecological,ocean acidification,omega_a,acid,2000,-0.34347826086956557,-0.3505413301254514
ecological,ocean acidification,omega_a,acid,2001,-0.3420289855072468,-0.3377662664997262
ecological,ocean acidification,omega_a,acid,2002,-0.32173913043478297,-0.32499120287400085
ecological,ocean acidification,omega_a,acid,2003,-0.32898550724637654,-0.3122161392482756
ecological,ocean acidification,omega_a,acid,2004,-0.30869565217391326,-0.2994410756225503
ecological,ocean acidification,omega_a,acid,2005,-0.2913043478260874,-0.28666601199682507
ecological,ocean acidification,omega_a,acid,2006,-0.2695652173913047,-0.27389094837109984
ecological,ocean acidification,omega_a,acid,2007,-0.24202898550724605,-0.2611158847453745
ecological,ocean acidification,omega_a,acid,2008,-0.23623188405797102,-0.24834082111964928
ecological,ocean acidification,omega_a,acid,2009,-0.24057971014492785,-0.23556575749392406
ecological,ocean acidification,omega_a,acid,2010,-0.22608695652173938,-0.22279069386819872
ecological,ocean acidification,omega_a,acid,2011,-0.188405797101449,-0.2100156302424735
ecological,ocean acidification,omega_a,acid,2012,-0.18550724637681215,-0.19724056661674827
ecological,ocean acidification,omega_a,acid,2013,-0.188405797101449,-0.18446550299102293
ecological,ocean acidification,omega_a,acid,2014,-0.18985507246376776,-0.1716904393652977
